fx106_00_700spd,fx106_00_500spd,fx106_00_500shear,fx106_03_700spd,fx106_03_500spd,fx106_03_500shear,fx502_00_low,fx502_00_trough,fx502_00_alt,WA_500_12_temp,WA_500_12_hum,WA_500_12_spd,WA_500_12_dir,TA_500_12_temp,TA_500_12_hum,TA_500_12_spd,TA_500_12_dir,WA_700_12_temp,WA_700_12_hum,WA_700_12_spd,WA_700_12_dir,TA_700_12_temp,TA_700_12_hum,TA_700_12_spd,TA_700_12_dir,MA_500_12_temp,MA_500_12_hum,MA_500_12_spd,MA_500_12_dir,MA_700_12_temp,MA_700_12_hum,MA_700_12_spd,MA_700_12_dir,tmp,dwp,relh,dir,spd,alt,vsby,gust,vis1,vis2 ,vis3
20,30,0,20,30,0,0,0,0,-18.5,2,25,271,-17.3,17,19,285,0.3,7,9,266,1.7,5,8,281,-13.8,4,15,240,2.3,5,10,190,3,1,86.69,0,2,30.03,6.21,0,200,10000,10000
30,40,0,35,45,0,0,0,0,-19.2,4,19,281,-14.8,87,25,236,-4.3,20,16,241,-0.3,50,19,246,-16.7,83,14,261,0.1,20,4,288,9,2,61.52,140,13,29.94,6.21,0,100,10000,10000
10,30,0,20,35,0,0,0,0,-19.4,3,15,280,-17.4,10,18,255,-3.7,17,9,285,0.3,5,13,258,-18.5,8,10,268,0.1,6,5,325,7,2,70.48,340,9,30.06,6.21,0,1500,2000,4000
20,25,0,20,25,0,0,0,0,-22.3,13,16,266,-19.5,12,21,251,-5.6,30,14,260,-4.9,31,9,284,-22,9,13,325,-2.3,40,11,332,1,1,100,0,2,30.09,1.24,0,100,200,10000
15,25,0,15,25,0,0,0,0,-19.6,57,19,232,-18,17,14,272,-1.7,6,6,214,0.5,6,8,263,-17.3,4,26,253,-2.3,10,13,252,5,3,86.89,0,2,30.03,6.21,0,1500,2000,10000
35,40,0,40,50,0,0,0,0,-22.9,44,25,278,-21.9,11,20,264,-4,64,22,277,-1.8,41,19,279,-16.8,5,22,287,2.3,8,17,312,12,5,62.23,160,14,29.83,6.21,0,4000,10000,10000
25,35,0,20,35,0,0,0,0,-19.8,42,24,257,-17.2,8,18,289,-2.2,15,10,288,0.6,15,11,287,-10.5,5,25,312,2.8,13,15,279,7,6,93.35,0,2,29.97,2.49,0,400,10000,10000
10,45,0,20,40,0,0,0,0,-13.4,91,32,245,-13.9,96,30,242,-2.1,19,25,228,3.4,17,18,244,-11.8,67,32,259,-0.5,100,19,263,5,3,86.89,160,3,30.21,6.21,0,400,10000,10000
50,80,6,45,80,0,0,0,0,-23,28,34,264,-18.9,7,39,251,-9.8,16,16,254,-2.8,13,17,258,-16.9,10,30,269,-2.6,22,16,288,13,9,76.66,40,6,29.8,6.21,0,800,4000,5000
25,55,0,25,55,0,0,0,0,-17.8,8,38,259,-15.9,6,26,255,-6.9,63,22,277,-3.2,13,13,248,-16.7,10,31,264,-2.3,7,15,291,3,0,80.65,0,1,30.06,6.21,0,1000,10000,10000
